,document,word1,word2,word3,word4,word5,class
0,Alfred Tarski_5 Further reading.txt,logical-8,truth-8,tarski-7,bibliography-5,feferman-5,logic
1,Aristotles Logic_1 Introduction.txt,logic-4,modern-4,formal-3,remarkable-3,logical-2,logic
2,Ancient Logic_3 The early Peripatetics Theophrastus and Eudemus.txt,theophrastus-24,syllogisms-16,figure-13,first-11,fortenbaugh-10,logic
3,Logical Constants_Further reading.txt,see-7,approach-5,logical-4,discussion-3,recent-2,logic
4,Logic and Artificial Intelligence_2 John McCarthy and Common Sense Logicism10.txt,reasoning-9,logical-8,mccarthy-8,methodology-5,research-4,logic
5,Propositional Function_12 Conclusion.txt,propositional-3,functions-3,logic-2,brief-1,history-1,logic
6,Logical Form_7 Notation and Restricted Quantification.txt,boy-25,form-14,one-13,sang-9,logical-9,logic
7,Bertrand Russell_2 Russells Work in Logic.txt,theory-19,mathematics-14,logic-13,russell-11,set-9,logic
8,Bernard Bolzano_2 Bolzanos Main Writings.txt,mathematics-4,bolzano-3,logic-3,work-2,three-2,logic
9,Model Theory_1 Basic notions of model theory.txt,model-13,sentence-8,theory-8,true-7,interpretation-7,logic
10,Logical Pluralism_2 Logical Pluralism via Linguistic Pluralism.txt,logical-22,logic-19,carnap-16,meaning-16,rules-13,logic
11,Logical Constants_4 Topic neutrality.txt,logic-14,topicneutral-13,might-12,logical-11,topic-11,logic
12,Medieval Theories of the Syllogism_3 Arabic Logic and Syllogisms.txt,sentences-30,logic-25,avicenna-17,absolute-15,arabic-14,logic
13,The Notation in Principia Mathematica_1 Why Learn the Symbolism in Principia Mathematica.txt,notation-7,logic-5,contemporary-4,symbolic-3,mathematics-3,logic
14,Logic and Artificial Intelligence_1 Logic and Artificial Intelligence.txt,logic-68,philosophical-39,logical-30,reasoning-26,new-13,logic
15,Medieval Theories of the Syllogism_10 Summary.txt,modal-6,theory-5,logic-5,syllogistic-4,buridan-3,logic
16,Willard Van Orman Quine_1 Quines life and work.txt,published-11,logic-3,ohio-2,attended-2,mathematical-2,logic
17,Modal Logic_5 Conditional and Relevance Logics.txt,logics-6,logic-5,modal-3,lewis-3,developed-3,logic
18,Logical Constants_5 Permutation invariance.txt,logical-47,domain-30,permutation-30,invariance-24,objects-21,logic
19,Willard Van Orman Quine_7 Quines place in the history of philosophy.txt,philosophy-7,work-6,philosophers-5,metaphysics-5,logical-4,logic
20,Propositional Function_1 PreHistory.txt,term-9,properties-8,intensional-8,logic-7,terms-6,logic
21,Set Theory_8 Forcing.txt,model-14,one-12,forcing-10,generic-9,set-8,logic
22,Bertrand Russell_4 Russells Theory of Definite Descriptions.txt,logical-10,russell-9,sentence-9,true-8,king-8,logic
23,Logic and Artificial Intelligence_4 Reasoning about Action and Change21.txt,problem-57,action-47,actions-45,logic-44,reasoning-35,logic
24,Rudolf Carnap_9 Final Years and Legacy.txt,carnap-9,philosophers-5,logical-4,empiricism-4,movement-3,logic
25,Vagueness_4 Manyvalued Logic.txt,logic-11,manyvalued-9,truthvalues-9,truth-8,lines-7,logic
26,Ludwig Wittgenstein_2 The Early Wittgenstein.txt,propositions-36,wittgenstein-21,tractatus-20,world-17,logical-17,logic
27,"Logic and Artificial Intelligence_9 Logical Approaches to Natural Language and 
Communication.txt",linguistic-11,logic-8,reasoning-7,information-7,discourse-7,logic
28,Modal Logic_12 Advanced Modal Logic.txt,modal-8,logic-6,mathematics-2,computer-2,science-2,logic
29,Second order and Higher order Logic_16 Finite Model Theory.txt,finite-9,logic-8,secondorder-7,models-6,infinite-4,logic
30,Constructive Mathematics_3 Varieties of Constructive Mathematics.txt,mathematics-48,constructive-28,logic-21,intuitionistic-20,one-17,logic
31,The Computational Theory of Mind_7 Arguments against computationalism.txt,computational-19,physical-16,model-15,temporal-14,mental-12,logic
32,Second order and Higher order Logic_8 Decidability Results.txt,monadic-20,secondorder-15,theory-11,vocabulary-8,logic-8,logic
33,Classical Logic_6 The One Right Logic.txt,logic-25,classical-11,one-8,right-8,reasoning-5,logic
34,Logical Constants_1 Syncategorematic terms.txt,logical-13,syncategorematic-10,function-9,constants-8,terms-8,logic
35,Analysis_6 Conceptions of Analysis in Analytic Philosophy and the Introduction of the Logical Transformative Conception.txt,analysis-30,analytic-18,logical-15,see-15,philosophy-13,logic
36,Second order and Higher order Logic_5 The Infamous Power of SecondOrder Logic.txt,logic-36,secondorder-32,set-21,order-16,first-15,logic
37,Ancient Logic_2 Aristotle.txt,aristotle-30,sentences-20,syllogisms-20,term-12,logic-11,logic
38,Medieval Theories of the Syllogism_9 Later Medieval Developments of the Theory.txt,logic-7,syllogistic-5,buridan-5,aristotle-5,little-3,logic
39,Logical Form_6 Regimentation and Communicative Slack.txt,language-24,sentences-19,logical-15,propositions-12,natural-12,logic
40,Logical Empiricism_1 Mapping the Movement.txt,logical-21,movement-13,vienna-10,berlin-10,empiricism-10,logic
41,Ancient Logic_6 Epicurus and the Epicureans.txt,epicureans-5,usener-5,utterances-5,logic-3,language-3,logic
42,Second order and Higher order Logic_13 Foundations of Mathematics.txt,secondorder-26,set-22,logic-22,theory-19,axioms-17,logic
43,Logical Form_8 Transformational Grammar.txt,structure-25,grammatical-22,logical-12,form-12,language-12,logic
44,Second order and Higher order Logic_3 The Semantics of SecondOrder Logic.txt,logic-23,secondorder-16,set-14,player-13,order-12,logic
45,Principia Mathematica_4 Volume I.txt,theory-95,logic-66,variables-55,types-53,function-50,logic
46,Logical Consequence_2 Formal and Material Consequence.txt,logical-10,formal-7,permutation-7,form-6,content-6,logic
47,Logical Empiricism_2 Background.txt,logical-15,philosophy-15,could-12,empirical-12,logic-12,logic
48,Alfred Tarski_3 Logical consequence.txt,tarski-41,logical-21,consequence-21,lar-20,sentence-18,logic
49,Quantifiers and Quantification_1 Classical Quantificational Logic.txt,logic-33,model-31,quantificational-29,formula-26,langle-22,logic
50,Second order and Higher order Logic_2 The Syntax of SecondOrder Logic.txt,variables-12,formula-10,logic-9,relation-9,function-9,logic
51,Propositional Function_2 The Logic of Relatives.txt,relations-6,peirces-5,terms-5,logic-5,term-4,logic
52,Russells Logical Atomism_5 Influence and Reception.txt,wittgenstein-7,logical-6,influence-6,analysis-6,philosophy-5,logic
53,Formalism in the Philosophy of Mathematics_7 The CurryHoward Correspondence.txt,type-37,theory-26,logic-17,syntactic-16,rightarrow-15,logic
54,Set Theory_7 Gdels constructible universe.txt,model-8,set-6,contains-6,lalpha-5,zfc-5,logic
